EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,JOB_ID,SALARY,COMMISSION_PCT,MANAGER_ID,DEPARTMENT_ID
0,No rep,,,,,,,,,
147,Alberto,Errazuriz,AERRAZUR,011.44.1344.429278,10/03/2005,SA_MAN,12000,0.3,100,80
148,Gerald,Cambrault,GCAMBRAU,011.44.1344.619268,15/10/2007,SA_MAN,11000,0.3,100,80
149,Eleni,Zlotkey,EZLOTKEY,011.44.1344.429018,29/01/2008,SA_MAN,10500,0.2,100,80
150,Peter,Tucker,PTUCKER,011.44.1344.129268,30/01/2005,SA_REP,10000,0.3,145,80
151,David,Bernstein,DBERNSTE,011.44.1344.345268,24/03/2005,SA_REP,9500,0.25,145,80
152,Peter,Hall,PHALL,011.44.1344.478968,20/08/2005,SA_REP,9000,0.25,145,80
153,Christopher,Olsen,COLSEN,011.44.1344.498718,30/03/2006,SA_REP,8000,0.2,145,80
154,Nanette,Cambrault,NCAMBRAU,011.44.1344.987668,09/12/2006,SA_REP,7500,0.2,145,80
155,Oliver,Tuvault,OTUVAULT,011.44.1344.486508,23/11/2007,SA_REP,7000,0.15,145,80
156,Janette,King,JKING,011.44.1345.429268,30/01/2004,SA_REP,10000,0.35,146,80
157,Patrick,Sully,PSULLY,011.44.1345.929268,04/03/2004,SA_REP,9500,0.35,146,80
158,Allan,McEwen,AMCEWEN,011.44.1345.829268,01/08/2004,SA_REP,9000,0.35,146,80
159,Lindsey,Smith,LSMITH,011.44.1345.729268,10/03/2005,SA_REP,8000,0.3,146,80
160,Louise,Doran,LDORAN,011.44.1345.629268,15/12/2005,SA_REP,7500,0.3,146,80
161,Sarath,Sewall,SSEWALL,011.44.1345.529268,03/11/2006,SA_REP,7000,0.25,146,80
162,Clara,Vishney,CVISHNEY,011.44.1346.129268,11/11/2005,SA_REP,10500,0.25,147,80
163,Danielle,Greene,DGREENE,011.44.1346.229268,19/03/2007,SA_REP,9500,0.15,147,80
164,Mattea,Marvins,MMARVINS,011.44.1346.329268,24/01/2008,SA_REP,7200,0.1,147,80
165,David,Lee,DLEE,011.44.1346.529268,23/02/2008,SA_REP,6800,0.1,147,80
166,Sundar,Ande,SANDE,011.44.1346.629268,24/03/2008,SA_REP,6400,0.1,147,80
167,Amit,Banda,ABANDA,011.44.1346.729268,21/04/2008,SA_REP,6200,0.1,147,80
168,Lisa,Ozer,LOZER,011.44.1343.929268,11/03/2005,SA_REP,11500,0.25,148,80
169,Harrison,Bloom,HBLOOM,011.44.1343.829268,23/03/2006,SA_REP,10000,0.2,148,80
170,Tayler,Fox,TFOX,011.44.1343.729268,24/01/2006,SA_REP,9600,0.2,148,80
171,William,Smith,WSMITH,011.44.1343.629268,23/02/2007,SA_REP,7400,0.15,148,80
172,Elizabeth,Bates,EBATES,011.44.1343.529268,24/03/2007,SA_REP,7300,0.15,148,80
173,Sundita,Kumar,SKUMAR,011.44.1343.329268,21/04/2008,SA_REP,6100,0.1,148,80
174,Ellen,Abel,EABEL,011.44.1644.429267,11/05/2004,SA_REP,11000,0.3,149,80
175,Alyssa,Hutton,AHUTTON,011.44.1644.429266,19/03/2005,SA_REP,8800,0.25,149,80
176,Jonathon,Taylor,JTAYLOR,011.44.1644.429265,24/03/2006,SA_REP,8600,0.2,149,80
177,Jack,Livingston,JLIVINGS,011.44.1644.429264,23/04/2006,SA_REP,8400,0.2,149,80
178,Kimberely,Grant,KGRANT,011.44.1644.429263,24/05/2007,SA_REP,7000,0.15,149,
179,Charles,Johnson,CJOHNSON,011.44.1644.429262,04/01/2008,SA_REP,6200,0.1,149,80
